id,pop,survey,season,sampler,site,site_code,capture_time,release_time,recapture,FTA_blood,field_sample_reference,blood_sample_batch,lon,lat
S_NOV02,South,2023 Wet Season,Wet,Chays Ogston,Carmichael Bore,CMB,11/05/2023 9:40,11/05/2023 10:30,No,Yes,Nov-02,Nov_2023,146.383108,-22.137289
S_NOV03,South,2023 Wet Season,Wet,Chays Ogston,Carmichael Bore,CMB,11/05/2023 9:40,11/05/2023 10:35,No,Yes,Nov-03,Nov_2023,146.383108,-22.137289
S_NOV04,South,2023 Wet Season,Wet,Chays Ogston,Carmichael Bore,CMB,11/05/2023 13:50,11/05/2023 14:05,No,Yes,Nov-04,Nov_2023,146.383108,-22.137289
S_NOV05,South,2023 Wet Season,Wet,Chays Ogston,Carmichael Bore,CMB,11/05/2023 13:50,11/05/2023 14:10,No,Yes,Nov-05,Nov_2023,146.383108,-22.137289
N_NOV06,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,6/05/2023 9:20,6/05/2023 9:36,No,Yes,<Null>,Nov_2023,146.344943,-21.62763
N_NOV07,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,6/05/2023 9:20,6/05/2023 9:37,No,Yes,<Null>,Nov_2023,146.344943,-21.62763
N_NOV08,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,6/05/2023 10:20,6/05/2023 10:34,No,Yes,<Null>,Nov_2023,146.344943,-21.62763
N_NOV09,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,6/05/2023 10:20,6/05/2023 10:36,No,Yes,<Null>,Nov_2023,146.344943,-21.62763
N_NOV10,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,6/05/2023 10:50,6/05/2023 10:55,No,Yes,<Null>,Nov_2023,146.344943,-21.62763
N_NOV11,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,6/05/2023 11:05,6/05/2023 11:16,No,Yes,<Null>,Nov_2023,146.344943,-21.62763
N_NOV12,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,6/05/2023 11:05,6/05/2023 11:19,No,Yes,<Null>,Nov_2023,146.344943,-21.62763
N_NOV13,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,6/05/2023 11:32,6/05/2023 11:43,No,Yes,<Null>,Nov_2023,146.344943,-21.62763
N_NOV14,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,6/05/2023 11:58,6/05/2023 12:15,No,Yes,<Null>,Nov_2023,146.344943,-21.62763
N_NOV15,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,6/05/2023 11:58,6/05/2023 12:18,No,Yes,<Null>,Nov_2023,146.344943,-21.62763
