id,pop,survey,season,sampler,site,site_code,old_site_code,capture_time,release_time,recapture,FTA_blood,field_sample_reference,blood_sample_batch,included_LandRes,250m_lon,250m_lat,100m_lon,100m_lat,lon_old,lat_old,service,plate_location,Relatedness
N_NOV09,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,HPHT,6/05/2023 10:20,6/05/2023 10:36,No,Yes,<Null>,Nov_2023,Yes,146.34345,-21.62886,146.344651,-21.628113,146.344943,-21.62763,DPoep23-8916,1-A2,Unrelated
N_NOV17,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,HPHT,6/05/2023 11:58,6/05/2023 12:30,No,Yes,<Null>,Nov_2023,Yes,146.34345,-21.62636,146.344651,-21.627113,146.344943,-21.62763,DPoep23-8916,1-A3,Unrelated
N_NOV25,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,HPHT,4/05/2023 14:45,4/05/2023 15:05,No,Yes,<Null>,Nov_2023,Yes,146.34595,-21.62636,146.345651,-21.627113,146.344943,-21.62763,DPoep23-8916,1-A4,Unrelated
N_NOV26,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,HPHT,4/05/2023 14:45,4/05/2023 15:07,No,Yes,<Null>,Nov_2023,Yes,146.34595,-21.62886,146.345651,-21.628113,146.344943,-21.62763,DPoep23-8916,1-B4,Unrelated
N_NOV11,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,HPHT,6/05/2023 11:05,6/05/2023 11:16,No,Yes,<Null>,Nov_2023,Yes,146.34595,-21.63136,146.345651,-21.629113,146.344943,-21.62763,DPoep23-8916,1-C2,Unrelated
N_NOV27,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,HPHT,4/05/2023 11:28,4/05/2023 11:38,No,Yes,<Null>,Nov_2023,Yes,146.34345,-21.63136,146.344651,-21.629113,146.344922,-21.627626,DPoep23-8916,1-C4,Unrelated
N_NOV12,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,HPHT,6/05/2023 11:05,6/05/2023 11:19,No,Yes,<Null>,Nov_2023,Yes,146.34095,-21.63136,146.343651,-21.629113,146.344943,-21.62763,DPoep23-8916,1-D2,Unrelated
N_NOV28,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,HPHT,4/05/2023 11:35,4/05/2023 11:48,No,Yes,<Null>,Nov_2023,Yes,146.34095,-21.62886,146.343651,-21.628113,146.344922,-21.627626,DPoep23-8916,1-D4,Unrelated
N_NOV13,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,HPHT,6/05/2023 11:32,6/05/2023 11:43,No,Yes,<Null>,Nov_2023,Yes,146.34095,-21.62636,146.343651,-21.627113,146.344943,-21.62763,DPoep23-8916,1-E2,Unrelated
N_NOV29,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,HPHT,4/05/2023 11:48,4/05/2023 12:08,No,Yes,<Null>,Nov_2023,Yes,146.34095,-21.62386,146.343651,-21.626113,146.344922,-21.627626,DPoep23-8916,1-E4,Unrelated
N_NOV30,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,HPHT,4/05/2023 11:50,4/05/2023 12:09,No,Yes,<Null>,Nov_2023,Yes,146.34345,-21.62386,146.344651,-21.626113,146.344922,-21.627626,DPoep23-8916,1-F4,Unrelated
N_NOV15,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,HPHT,6/05/2023 11:58,6/05/2023 12:18,No,Yes,<Null>,Nov_2023,Yes,146.34595,-21.62386,146.345651,-21.626113,146.344943,-21.62763,DPoep23-8916,1-G2,Unrelated
N_NOV31,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,HPHT,4/05/2023 11:50,4/05/2023 12:22,No,Yes,<Null>,Nov_2023,Yes,146.34845,-21.62386,146.346651,-21.626113,146.344922,-21.627626,DPoep23-8916,1-G4,Unrelated
N_NOV08,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,HPHT,6/05/2023 10:20,6/05/2023 10:34,No,Yes,<Null>,Nov_2023,Yes,146.34845,-21.62636,146.346651,-21.627113,146.344943,-21.62763,DPoep23-8916,1-H1,Unrelated
N_NOV32,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,HPHT,4/05/2023 11:50,4/05/2023 12:27,No,Yes,<Null>,Nov_2023,Yes,146.34845,-21.62886,146.346651,-21.628113,146.344922,-21.627626,DPoep23-8916,1-H4,Unrelated
N_NOV19,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tommahawk tank,HPTT,HPTT,6/05/2023 14:35,6/05/2023 14:45,No,Yes,<Null>,Nov_2023,Yes,146.33099,-21.73389,146.330637,-21.735117,146.330789,-21.735214,DPoep23-8916,1-C3,Unrelated
N_NOV20,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tommahawk tank,HPTT,HPTT,6/05/2023 14:50,6/05/2023 14:58,No,Yes,<Null>,Nov_2023,Yes,146.33099,-21.73139,146.330637,-21.734117,146.330789,-21.735214,DPoep23-8916,1-D3,Unrelated
N_NOV21,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tommahawk tank,HPTT,HPTT,6/05/2023 14:50,6/05/2023 15:12,No,Yes,<Null>,Nov_2023,Yes,146.33349,-21.73139,146.331637,-21.734117,146.330789,-21.735214,DPoep23-8916,1-E3,Unrelated
N_NOV22,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tommahawk tank,HPTT,HPTT,6/05/2023 14:50,6/05/2023 15:18,No,Yes,<Null>,Nov_2023,Yes,146.33349,-21.73389,146.331637,-21.735117,146.330789,-21.735214,DPoep23-8916,1-F3,Unrelated
N_NOV23,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tommahawk tank,HPTT,HPTT,6/05/2023 14:50,6/05/2023 15:23,No,Yes,<Null>,Nov_2023,Yes,146.33349,-21.73639,146.331637,-21.736117,146.330789,-21.735214,DPoep23-8916,1-G3,Unrelated
S_NOV33,South,2022 Dry Season,Dry,Breanna Williams,Lignum fence trough,LFT,LFT,12/10/2022 14:24,12/10/2022 14:30,No,Yes,BTF263,Nov_2023,Yes,146.41096,-22.24895,146.41165,-22.25013,146.411307,-22.250395,DPoep23-8916,1-A5,Unrelated
S_NOV41,South,2022 Dry Season,Dry,Chays Ogston,Lignum fence trough,LFT,LFT,14/10/2022 13:00,14/10/2022 13:07,No,Yes,BTF274,Nov_2023,Yes,146.41096,-22.24645,146.41165,-22.24913,146.411412,-22.250437,DPoep23-8916,1-A6,Unrelated
S_NOV49,South,2022 Dry Season,Dry,Chays Ogston,Lignum fence trough,LFT,LFT,14/10/2022 15:15,14/10/2022 15:25,No,Yes,BTF282,Nov_2023,Yes,146.41346,-22.24645,146.41265,-22.24913,146.411412,-22.250437,DPoep23-8916,1-A7,Unrelated
S_NOV34,South,2022 Dry Season,Dry,Breanna Williams,Lignum fence trough,LFT,LFT,12/10/2022 14:11,12/10/2022 14:20,No,Yes,BTF262,Nov_2023,Yes,146.41346,-22.24895,146.41265,-22.25013,146.411307,-22.250395,DPoep23-8916,1-B5,Unrelated
S_NOV42,South,2022 Dry Season,Dry,Chays Ogston,Lignum fence trough,LFT,LFT,14/10/2022 13:00,14/10/2022 13:15,No,Yes,BTF275,Nov_2023,Yes,146.41346,-22.25145,146.41265,-22.25113,146.411412,-22.250437,DPoep23-8916,1-B6,Unrelated
S_NOV50,South,2022 Dry Season,Dry,Chays Ogston,Lignum fence trough,LFT,LFT,14/10/2022 15:30,14/10/2022 15:40,No,Yes,BTF283,Nov_2023,Yes,146.41096,-22.25145,146.41165,-22.25113,146.411412,-22.250437,DPoep23-8916,1-B7,Unrelated
S_NOV35,South,2022 Dry Season,Dry,Breanna Williams,Lignum fence trough,LFT,LFT,12/10/2022 14:58,12/10/2022 15:09,No,Yes,BTF264,Nov_2023,Yes,146.40846,-22.25145,146.41065,-22.25113,146.411307,-22.250395,DPoep23-8916,1-C5,Unrelated
S_NOV43,South,2022 Dry Season,Dry,Chays Ogston,Lignum fence trough,LFT,LFT,14/10/2022 13:00,14/10/2022 13:25,No,Yes,BTF276,Nov_2023,Yes,146.40846,-22.24895,146.41065,-22.25013,146.411412,-22.250437,DPoep23-8916,1-C6,Unrelated
S_NOV51,South,2022 Dry Season,Dry,Chays Ogston,Lignum fence trough,LFT,LFT,14/10/2022 15:30,14/10/2022 15:48,No,Yes,BTF284,Nov_2023,Yes,146.40846,-22.24645,146.41065,-22.24913,146.411412,-22.250437,DPoep23-8916,1-C7,Unrelated
S_NOV36,South,2022 Dry Season,Dry,Breanna Williams,Lignum fence trough,LFT,LFT,12/10/2022 15:08,12/10/2022 15:20,No,Yes,BTF265,Nov_2023,Yes,146.40846,-22.24395,146.41065,-22.24813,146.411307,-22.250395,DPoep23-8916,1-D5,Unrelated
S_NOV45,South,2022 Dry Season,Dry,Chays Ogston,Lignum fence trough,LFT,LFT,14/10/2022 13:38,14/10/2022 13:55,No,Yes,BTF278,Nov_2023,Yes,146.41096,-22.24395,146.41165,-22.24813,146.411412,-22.250437,DPoep23-8916,1-E6,Unrelated
S_NOV39,South,2022 Dry Season,Dry,Breanna Williams,Lignum fence trough,LFT,LFT,12/10/2022 15:50,12/10/2022 15:56,No,Yes,BTF269,Nov_2023,Yes,146.41346,-22.24395,146.41265,-22.24813,146.411307,-22.250395,DPoep23-8916,1-G5,Unrelated
