"id","pop","survey","season","sampler","site","site_code","capture_time","release_time","recapture","FTA_blood","field_sample_reference","blood_sample_batch","lon","lat","service","plate_location","sex"
"C_NOV86","Central","2022 Wet Season","Wet","Emily Drummond","11 Mile Scrape","11MS","4/06/2022 2:00","3/06/2022 2:46","Yes","Yes","BTF158","Nov_2023",146.27205,-21.914982,"DPoep23-8916","1-F11","M"
"C_NOV94","Central","2022 Early Wet Season","Early Wet","Breanna Williams","11 Mile Scrape","11MS","9/02/2022 2:40","9/02/2022 3:35","No","Yes","BTF71","Nov_2023",146.272024,-21.914976,"DPoep23-8916","1-F12","M"
"C_NOV54","Central","2022 Dry Season","Dry","Chays Ogston","4 Mile Bore","4MB","15/10/2022 7:25","15/10/2022 7:48","No","Yes","BTF289","Nov_2023",146.295371,-22.01643,"DPoep23-8916","1-F7","F"
"C_NOV62","Central","2022 Dry Season","Dry","Breanna Williams","10 Mile Bore","10MB","8/10/2022 13:18","8/10/2022 13:37","No","Yes","BTF246","Nov_2023",146.255729,-21.920341,"DPoep23-8916","1-F8","F"
"C_NOV70","Central","2022 Dry Season","Dry","Breanna Williams","10 Mile Bore","10MB","13/10/2022 8:40","13/10/2022 9:53","No","Yes","BTF272","Nov_2023",146.255712,-21.920266,"DPoep23-8916","1-F9","M"
"C_NOV79","Central","2022 Wet Season","Wet","Emily Drummond","Scrape on track SW of Ten Mile","SWTM","3/06/2022 3:50","3/06/2022 4:20","Yes","Yes","BTF148","Nov_2023",146.237251,-21.93675,"DPoep23-8916","1-G10","M"
"C_NOV87","Central","2022 Wet Season","Wet","Emily Drummond","11 Mile Scrape","11MS","4/06/2022 3:50","4/06/2022 4:45","No","Yes","BTF163","Nov_2023",146.27205,-21.914982,"DPoep23-8916","1-G11","M"
"C_NOV71","Central","2022 Dry Season","Dry","Chays Ogston","10 Mile Bore","10MB","15/10/2022 15:55","15/10/2022 16:13","No","Yes","BTF285","Nov_2023",146.255729,-21.920341,"DPoep23-8916","1-G9","M"
"C_NOV80","Central","2022 Wet Season","Wet","Emily Drummond","11 Mile Scrape","11MS","3/06/2022 22:50","3/06/2022 23:40","Yes","Yes","BTF154","Nov_2023",146.27205,-21.914982,"DPoep23-8916","1-H10","F"
"C_NOV72","Central","2022 Dry Season","Dry","Chays Ogston","10 Mile Bore","10MB","15/10/2022 15:55","15/10/2022 16:25","No","Yes","BTF286","Nov_2023",146.255729,-21.920341,"DPoep23-8916","1-H9","F"
"S_BTF17","South","2021 Dry Season","Dry","Dean Jones","Carmichael bore","CMB","11/09/2021 3:20","11/09/2021 3:42","Yes","Yes","BTF17","Jul_2022",146.38315,-22.13729,"DPeop22-7457","1-A3","M"
"S_BTF18","South","2021 Dry Season","Dry","Dean Jones","Carmichael bore","CMB","11/09/2021 1:45","11/09/2021 2:03","No","Yes","BTF18","Jul_2022",146.38315,-22.13729,"DPeop22-7457","1-B3","M"
"S_BTF20","South","2021 Dry Season","Dry","Dean Jones","Carmichael bore","CMB","11/09/2021 2:50","11/09/2021 3:06","No","Yes","BTF20","Jul_2022",146.38315,-22.13729,"DPeop22-7457","1-D3","M"
"S_BTF22","South","2021 Dry Season","Dry","Dean Jones","Carmichael bore","CMB","11/09/2021 4:05","11/09/2021 4:28","No","Yes","BTF22","Jul_2022",146.38315,-22.13729,"DPeop22-7457","1-F3","F"
"S_BTF23","South","2021 Dry Season","Dry","Dean Jones","Carmichael bore","CMB","11/09/2021 4:08","11/09/2021 4:45","No","Yes","BTF23","Jul_2022",146.38315,-22.13729,"DPeop22-7457","1-G3","M"
